scenario,grade,setup,direction,bucket,bucket_date,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,gross_points,risk_points,gross_r,mfe_points,mae_points,exit_reason,net_points_cost_0,net_points_cost_2,net_points_cost_4,net_points_cost_6
A_formal,A1,假突破反轉空,空,day,2026-08-14,2026-08-14 11:30,2026-08-14 11:31,2026-08-14 13:44,46135.0,46155.58898985682,45844.0,291.0,20.588989856820263,14.133767709036196,459.0,5.0,時段結束強制平倉,291.0,289.0,287.0,285.0
A_formal,A1,假突破反轉空,空,night_pre_us,2026-08-20,2026-08-20 17:10,2026-08-20 17:11,2026-08-20 17:15,44733.0,44749.45090323635,44733.0,-0.0,16.450903236349404,-0.0,30.0,11.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,假跌破反轉多,多,day,2026-08-04,2026-08-04 10:12,2026-08-04 10:13,2026-08-04 10:15,43357.0,43258.484196778845,43258.484196778845,-98.51580322115478,98.51580322115478,-1.0,41.0,137.0,初始/移動停損,-98.52,-100.52,-102.52,-104.52
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_pre_us,2026-08-06,2026-08-06 17:50,2026-08-06 17:51,2026-08-06 17:53,44239.0,44257.56585401785,44257.56585401785,-18.565854017848324,18.565854017848324,-1.0,6.0,21.0,初始/移動停損,-18.57,-20.57,-22.57,-24.57
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_us_to_0100,2026-08-06,2026-08-07 00:40,2026-08-07 00:41,2026-08-07 00:49,44634.0,44669.78353435868,44634.0,-0.0,35.78353435867757,-0.0,61.0,13.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_pre_us,2026-08-10,2026-08-10 21:11,2026-08-10 21:12,2026-08-10 21:19,44850.0,44871.10688581397,44871.10688581397,-21.10688581396971,21.10688581396971,-1.0,11.0,25.0,初始/移動停損,-21.11,-23.11,-25.11,-27.11
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_us_to_0100,2026-08-10,2026-08-10 22:08,2026-08-10 22:09,2026-08-10 22:10,44900.0,44948.25419184509,44948.25419184509,-48.25419184508792,48.25419184508792,-1.0,12.0,53.0,初始/移動停損,-48.25,-50.25,-52.25,-54.25
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_us_to_0100,2026-08-10,2026-08-10 22:13,2026-08-10 22:14,2026-08-11 00:59,44946.0,44990.42750240364,44725.0,221.0,44.427502403639664,4.974396219533936,265.0,29.0,時段結束強制平倉,221.0,219.0,217.0,215.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-11,2026-08-11 10:35,2026-08-11 10:36,2026-08-11 10:40,44854.0,44911.78011960448,44911.78011960448,-57.780119604482024,57.780119604482024,-1.0,13.0,60.0,初始/移動停損,-57.78,-59.78,-61.78,-63.78
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-12,2026-08-12 09:46,2026-08-12 09:47,2026-08-12 09:50,45331.0,45380.66222535409,45380.66222535409,-49.66222535409179,49.66222535409179,-1.0,15.0,77.0,初始/移動停損,-49.66,-51.66,-53.66,-55.66
A_no_obstacle_diagnostic,A1,假跌破反轉多,多,day,2026-08-12,2026-08-12 10:13,2026-08-12 10:14,2026-08-12 10:15,45299.0,45257.38299974187,45257.38299974187,-41.61700025812752,41.61700025812752,-1.0,12.0,45.0,初始/移動停損,-41.62,-43.62,-45.62,-47.62
A_no_obstacle_diagnostic,A1,假跌破反轉多,多,night_pre_us,2026-08-13,2026-08-13 19:15,2026-08-13 19:16,2026-08-13 19:18,46068.0,46056.63793144193,46056.63793144193,-11.362068558068131,11.362068558068131,-1.0,7.0,18.0,初始/移動停損,-11.36,-13.36,-15.36,-17.36
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_us_to_0100,2026-08-13,2026-08-14 00:09,2026-08-14 00:10,2026-08-14 00:22,46443.0,46455.8261664004,46443.0,-0.0,12.826166400402144,-0.0,36.0,7.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-14,2026-08-14 11:30,2026-08-14 11:31,2026-08-14 13:44,46135.0,46155.58898985682,45844.0,291.0,20.588989856820263,14.133767709036196,459.0,5.0,時段結束強制平倉,291.0,289.0,287.0,285.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-17,2026-08-17 09:59,2026-08-17 10:00,2026-08-17 10:09,45903.0,45940.943922210725,45903.0,-0.0,37.94392221072485,-0.0,89.0,31.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,反彈失敗空,空,day,2026-08-19,2026-08-19 13:14,2026-08-19 13:15,2026-08-19 13:29,44628.0,44652.7547256965,44615.0,13.0,24.75472569649719,0.5251522541346321,26.0,12.0,時段結束強制平倉,13.0,11.0,9.0,7.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_pre_us,2026-08-20,2026-08-20 17:10,2026-08-20 17:11,2026-08-20 17:15,44733.0,44749.45090323635,44733.0,-0.0,16.450903236349404,-0.0,30.0,11.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,假突破反轉空,空,night_pre_us,2026-08-20,2026-08-20 18:13,2026-08-20 18:14,2026-08-20 18:36,44748.0,44768.56873149213,44748.0,-0.0,20.56873149213061,-0.0,67.0,2.0,初始/移動停損,-0.0,-2.0,-4.0,-6.0
A_no_obstacle_diagnostic,A1,假跌破反轉多,多,night_pre_us,2026-08-20,2026-08-20 19:09,2026-08-20 19:10,2026-08-20 19:13,44681.0,44655.38770918753,44655.38770918753,-25.61229081246711,25.61229081246711,-1.0,9.0,45.0,初始/移動停損,-25.61,-27.61,-29.61,-31.61
A_no_obstacle_diagnostic,A1,假跌破反轉多,多,night_pre_us,2026-08-21,2026-08-21 20:05,2026-08-21 20:06,2026-08-21 21:13,45377.0,45356.49897028116,45357.97329950639,-19.026700493610406,20.50102971884189,-0.9280851135064463,59.0,22.0,初始/移動停損,-19.03,-21.03,-23.03,-25.03
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-24,2026-08-24 10:36,2026-08-24 10:37,2026-08-24 10:40,45062.0,45108.007676670335,45108.007676670335,-46.00767667033506,46.00767667033506,-1.0,17.0,47.0,初始/移動停損,-46.01,-48.01,-50.01,-52.01
A_no_obstacle_diagnostic,A1,假突破反轉空,空,day,2026-08-25,2026-08-25 09:55,2026-08-25 09:56,2026-08-25 11:27,44443.0,44503.38607236334,44440.27673208463,2.7232679153676145,60.386072363340645,0.04509761620166017,233.0,12.0,初始/移動停損,2.72,0.72,-1.28,-3.28
